feature,p_value,cohens_d,d_ci_lo,d_ci_hi,mean_human,mean_ai,p_fdr,sig_fdr
n_types,0.0018709217926594906,0.08149170942541423,0.02006691600349562,0.14241321242525842,258.97957639939483,256.97409228441757,0.004034175115422026,True
L_Root_TTR,0.004826481198550937,-0.06888413351578478,-0.1336630756491559,-0.004431460539664823,12.953219284856706,13.009012604404498,0.010091733415151958,True
dep_rel_appos,0.007408163578878269,0.06394212764897798,0.0035762168164493254,0.12741874068415762,0.002332251224745096,0.002131726260603915,0.015034214321841191,True
mood_Opt,0.008107443540725104,-0.07659361910569883,-0.13776999437291526,-0.01514264352313444,0.024676623973517862,0.02715423468232019,0.01598324583742949,True
gender_Fem,0.012893949984680717,-0.05770914272347786,-0.1178288559951657,-0.00021177089272730228,0.22568412485415165,0.22982332915886242,0.024713404137304707,True
pos_ADJ,0.035157746928221933,-0.0539477926232759,-0.11410490146773922,0.005732620746371874,0.07939816055604486,0.08044310685665707,0.0655644469742517,False
mood_entropy,0.03754635337081892,-0.058029890593821985,-0.1198727187181357,0.0013087547952476755,0.7613226943250511,0.7781100915593028,0.06817627322596068,False
aspect_Imp,0.07458022320837754,-0.046824584834710956,-0.10879719931920181,0.015390859300992914,0.13283968314390524,0.13742258425720943,0.12865088503445124,False
aspect_Perf,0.07458022320837754,0.04682458483471294,-0.0153908593009935,0.10879719931920093,0.8671603168560947,0.8625774157427903,0.12865088503445124,False
case_Dat,0.09513288990212071,0.04687574602637806,-0.012480521231135584,0.10769364518434654,0.14347784725095664,0.14166360357336347,0.1601016927621056,False
mood_Ind,0.10834221684474157,0.04393113645632996,-0.01632770542329775,0.10406886854715446,0.835738790740228,0.8320600600999588,0.17799078481636116,False
tense_Fut,0.14982237045063584,-0.040110335889260426,-0.09516495188782076,0.018373880985435978,0.04534298944562376,0.0466428418201578,0.24041264095567147,False
pos_VERB,0.17442318819996994,-0.035183696915294424,-0.09567349822644326,0.02510492286214605,0.20391451542634934,0.20480200975366222,0.2735272724044983,False
dep_rel_obj,0.18203634686567527,-0.035493010932413936,-0.0960196116004565,0.02535792607020815,0.09145726318516288,0.09209007632116421,0.27912239852736875,False
hapax_legomena,0.22621752454254973,-0.029326014780474315,-0.09479360279507003,0.0344961334748653,202.08320726172465,202.8086232980333,0.3393262868138246,False
pos_PROPN,0.23358335924473883,0.030657724122588915,-0.030209645601358193,0.09225038631136197,0.0007675756423291413,0.0007166452983765672,0.34292025080610594,False
noun_verb_ratio,0.2397694127201183,0.027487356109795462,-0.0322444610288088,0.08865903670824896,0.7447695432454347,0.738092769960327,0.34466853078517007,False
dep_distance_std,0.2858453054288571,0.031216783608084258,-0.02862307570520328,0.09175549857476324,3.1751136176584316,3.1599024794592627,0.40251685866512527,False
dep_rel_fixed,0.2986638869733379,0.0306972268511602,-0.02797484636762597,0.0937364505758816,0.0005227890994177925,0.00048425335780265667,0.4121561640232063,False
mood_Sub,0.3161280168250664,-0.02749431707210746,-0.08768622824688276,0.03349362113636318,0.10284667535187084,0.10469028250024426,0.4277026109986193,False
dep_rel_xcomp,0.3609786801103997,-0.024625090718840198,-0.08602987411009892,0.0364284784388911,0.02931994266283507,0.029575384085501664,0.47899094091572264,False
dep_rel_parataxis,0.39008171545170156,0.0249375405966956,-0.03603253280720341,0.08497211813618025,0.0011290443253309278,0.001084719285808666,0.5078422333239134,False
dep_rel_amod,0.4139084641056049,-0.02167840597726777,-0.08178648541428828,0.03698767845212537,0.02079544231169758,0.02100218941064287,0.5288830374682729,False
pos_ADP,0.42965532935194917,0.020656100805580415,-0.040881876252962995,0.07986747269672403,0.05342009467088859,0.0531471186250425,0.5303676331245023,False
dep_rel_aux,0.43044329644887147,0.02366193120523007,-0.03614930330295784,0.08668921721480465,0.00023955358781213324,0.00022109182443622868,0.5303676331245023,False
tense_Pres,0.4628898733961623,0.017907300278831504,-0.04081541869758798,0.07743482544796247,0.4878030283177538,0.4857590154459076,0.5603403730585123,False
dep_rel_flat,0.4764825921308984,-0.021740631508639353,-0.03438674023091594,0.0,0.0,9.602392046520803e-07,0.566849980293655,False
dep_rel_case,0.4872712758816139,0.01815896850160913,-0.04348252985240842,0.07762944111450198,0.05333115342308956,0.053091535720149706,0.5698596277259552,False
pos_NOUN,0.5017891566439616,0.015293742691306412,-0.04557645793336066,0.0756323669290979,0.14673707701660318,0.14627563790074197,0.5770575301405558,False
dep_rel_advcl,0.5345557884371869,0.017153273466778054,-0.042792192634457354,0.07713038615508079,0.06901677317456549,0.06875239730307885,0.6046614656092769,False
mood_Imp,0.5475593086479669,0.016020942414116918,-0.04365647826404102,0.07716841394427691,0.03673790993438318,0.03609542271747681,0.6093805209146728,False
dep_rel_cc,0.5719329390116714,-0.014917828399653827,-0.07601742314329246,0.04518815937402911,0.06173858559380985,0.0619820770814836,0.6264027427270688,False
pos_CCONJ,0.6733488818393831,-0.011203950772605567,-0.07199010809018151,0.0497959589519801,0.060225078976275784,0.06040539296804611,0.7259542632330849,False
