WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,WE18,WE19,WE20,WE21,WE22,WE23,WE24,WE25,WE26,WE27,WE28,WE29,WE30,WE31,WE32,WE33,WE34,WE35,WE36,WE37,WE38,WE39,WE40,WE41,WE42,WE43,WE44,WE45,WE46,WE47,WE48,WE49,WE50,Category1,Category2,Category3,Category4,doc_id,chunk_id,chunk_index,model_version,text_file
1.23402,-0.27584797,0.9572332,-0.021921746,1.1130456,-0.5198119,-0.33622113,0.28518987,-0.038279902,-0.8043984,-0.16876832,-0.5851428,-0.23714124,0.032073725,-0.40797833,-0.019766627,-0.540244,-0.18350777,-0.19234891,-0.30811355,0.37175038,0.056959223,0.21343656,0.030225867,-0.24719797,-0.21923628,-0.03714544,0.18235195,0.34811783,-0.09974392,0.039541855,-0.13182281,-0.3042505,0.15298195,-0.3843703,0.18263735,0.06772197,-0.09328068,-0.21351194,-0.073295586,-0.07063467,0.31005368,0.007976309,-0.38612655,0.22373247,0.75427836,0.1053065,-0.08292101,-0.0032695255,0.16683836,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c010,10,human,Human_Aeschines_0026001__c010.txt
0.8309626,-0.14195122,-1.1625097,-0.031568658,0.045966517,0.012142759,0.27323014,0.42224365,-0.31473467,-0.44343582,0.49868673,-1.1684728,0.33575395,-0.22793207,0.043821584,1.1287198,0.061576966,-0.07444063,-0.20578413,-0.49168798,-0.45205367,0.122665286,0.52363414,0.2613629,0.2702466,0.47945362,0.38152072,-0.02337792,0.28325972,0.34204236,0.18947983,0.119240165,0.3244684,-0.31298614,0.2810128,0.6244655,0.030500263,0.4102831,-0.17591466,0.052576732,0.3863447,-0.09467289,-0.21353577,-0.1215911,0.06426388,-0.12093797,0.418842,0.25276628,-0.09026415,-0.25966626,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c011,11,human,Human_Aeschines_0026001__c011.txt
1.5690833,-0.5788389,-0.68568575,-0.15151177,0.25144887,-0.23448953,0.29926652,0.23485033,-0.05384828,-0.46143356,-0.27831748,-0.46943218,-0.042718414,-0.23723724,-0.11157616,0.64977527,0.37011352,-0.318369,-0.21570724,-0.12510653,0.1204965,0.43951115,-0.048674934,0.38787085,0.23506892,0.57077175,0.036195647,-0.46943545,0.050134428,-0.22566734,0.10340626,0.41256392,-0.013950381,-0.019253869,0.264724,0.36358958,0.09235382,-0.49647522,-0.13656466,0.004128357,0.119139634,-0.30833724,-0.2627872,-0.367996,0.12306824,0.39428163,-0.021380698,0.18604808,-0.14132187,0.15951264,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c012,12,human,Human_Aeschines_0026001__c012.txt
1.0859369,-0.30998605,-0.3958461,0.5789973,0.22378157,-0.6634096,0.034103677,0.5254529,-0.17593548,-0.43618542,0.1105899,-1.0569698,-0.19147122,-0.5982448,-0.35846978,1.0042852,-0.12803042,0.2999052,-0.051274836,0.48508266,0.25528476,0.48046678,0.16940734,0.21338868,-0.30118433,-0.081210405,0.051170815,-0.24488263,0.2409148,-0.09555267,-0.10955739,0.3421446,0.27818856,-0.15229106,-0.18689051,0.43242472,-0.7828092,-0.30964696,0.010008846,-0.30359903,0.048199527,-0.045687977,0.033755857,-0.36807474,-0.3163243,0.21056287,-0.025675843,-0.43074754,-0.3790216,0.18266906,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c013,13,human,Human_Aeschines_0026001__c013.txt
0.7502864,0.7715466,-2.026402,0.18568179,-0.15518065,0.40073326,-0.31785625,0.82776904,0.15401913,-0.015225434,0.19702628,-0.29463115,-0.40021348,-0.5544516,0.43593326,0.22490662,0.5392325,-0.7864684,-0.5682637,0.8695625,-0.29666778,0.22745876,-0.06790709,-0.03935982,0.24004184,-0.23925465,0.22471747,0.09934975,0.1556858,0.2666192,0.34820887,0.029439546,0.20236272,0.10364741,0.08497453,0.24624093,0.19575347,-0.47180322,0.069465466,0.20963947,0.12978512,-0.51341575,0.09422789,-0.13100283,-0.2586817,-0.24740599,0.31311414,-0.12807682,-0.09096741,-0.1679925,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c014,14,human,Human_Aeschines_0026001__c014.txt
0.8973615,1.05898,0.9663106,-1.4585434,0.5661004,-0.08093245,-0.54238725,-0.18778566,-0.79659206,0.23622134,-0.005182929,-0.91455597,-0.7308456,0.39986137,-0.64021915,0.068977445,-0.004683991,-0.12108254,-0.3802921,0.30846,-0.079276755,0.3781942,-0.8550947,0.41320938,0.21693517,0.19090033,-0.43024084,-0.037868317,0.1391556,0.01378822,0.38144952,0.47139394,-0.2154798,-0.28039816,-0.47144115,0.35970587,-0.3647714,0.27717707,0.020981817,-0.070391044,0.03742733,0.017737955,0.1899164,-0.2899799,0.17860855,-0.23228028,0.099708244,-0.18236327,0.005783437,0.5544665,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c015,15,human,Human_Aeschines_0026001__c015.txt
2.1198812,1.7920198,1.0861591,-0.2569647,1.0786673,0.6497687,0.08789566,-0.3407597,-0.11098241,1.0132916,-0.106985934,-0.47017124,-0.14636293,0.0194294,0.054358743,-0.33223298,-0.0025365516,-0.5626311,-0.090165675,0.5286553,-0.15903713,0.5475073,-0.16807953,-0.031085279,-0.010502201,-0.12434241,0.08698868,0.28060746,-0.06926756,-0.2982142,0.49945825,0.7278232,0.096743345,0.081650466,0.03507928,0.1724795,0.11038784,0.13095123,0.0042143813,-0.1159935,-0.31355992,-0.1552786,-0.12920602,-0.097003125,0.25268695,0.22804509,0.20448816,-0.4412686,-0.03988092,0.14856549,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c016,16,human,Human_Aeschines_0026001__c016.txt
0.446117,0.3426492,-0.68017805,-0.39420018,1.3488247,-0.6350428,-1.1195481,0.54023594,-0.8451828,1.2815734,0.17969677,-0.07563678,-0.3268779,-0.16614236,-0.44679424,-0.050573524,-0.19645822,-0.32400095,0.21452154,0.23571815,-0.1924714,-0.03788612,0.61805105,0.2632705,0.021225056,0.06688049,0.030809863,0.29263297,-0.029366624,0.59805536,0.4317612,0.21558724,0.060204428,-0.30196887,0.16133462,-0.09231223,0.34673646,-0.27787524,0.12579536,-0.50102764,0.0161038,-0.030505963,0.38615936,-0.10273009,-0.24008976,-0.46096087,0.14613767,0.381014,-0.020369355,0.01791479,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c017,17,human,Human_Aeschines_0026001__c017.txt
1.6818501,0.41606945,-0.8316111,0.85820043,1.4711142,-0.38128003,0.115167804,-0.0806737,-0.25921085,-0.16959934,0.54594094,-0.051646896,0.24859753,0.39891875,0.056598213,-0.25519112,0.15110847,-0.23214568,0.118215926,0.12323293,-0.045289222,0.1802036,-0.13776737,0.019158864,-0.24467984,-0.22072463,0.42468145,0.08477311,0.1008051,-0.13494521,0.39981058,0.43503174,0.18801248,-0.4518992,-0.52036947,-0.058393605,0.04038328,-0.07470635,0.11349207,-0.16590981,-0.20213158,-0.48957595,0.25087956,0.09977746,-0.33055672,0.18075798,-0.07606159,0.29088664,-0.15255332,0.08247893,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c018,18,human,Human_Aeschines_0026001__c018.txt
0.439078,-0.09658429,-1.4002311,-0.067383446,-0.19743921,-0.690172,1.4178469,-0.042457487,0.14637023,-0.35351497,-0.20227957,-0.4315407,-0.107145265,0.3095396,0.09942743,0.27881458,0.029181918,0.48285735,0.65478796,0.28746477,-0.41561326,-0.16325104,-0.109593354,-0.40695643,0.2176834,-0.092517294,0.002469056,-0.38527918,0.18029457,0.20421194,0.34186393,0.23393981,-0.31260172,-0.46036315,0.18983513,0.23773766,0.103015944,0.20486052,-0.005448561,-0.061412174,-0.02489453,0.1294061,0.096757926,0.02108329,-0.06976111,0.104680456,0.008457939,0.04509124,-0.22086406,0.0021059664,Human,Aeschines,Human,Human,Human_Aeschines_0026001,Human_Aeschines_0026001__c019,19,human,Human_Aeschines_0026001__c019.txt
